NO,共通ID,施設・場所名,住所,指定緊急避難場所との住所同一,その他市町村長が必要と認める事項,受入対象者,緯度,経度,備考
820,E0332100041111,長岡消防会館,岩手県紫波町東長岡字天王52-2,1,,,39.58764399,141.1993618,
821,E0332100042111,岩手中央農協長岡活動センター,岩手県紫波町東長岡字天王52-3,1,,,39.5879092,141.1996109,
822,E0332100043111,南伝法寺公民館,岩手県紫波町南伝法寺字漆田98,1,,,39.57673196,141.111864,
823,E0332100044112,赤石小学校（校庭）,岩手県紫波町南日詰字箱清水128,1,,,39.53502663,141.1634875,
824,E0332100044111,赤石小学校,岩手県紫波町南日詰字箱清水128,1,,,39.53553965,141.1636806,
825,E0332100045121,総合福祉センター,岩手県紫波町二日町字古舘356-1,1,,要配慮者,39.56087234,141.1743852,
826,E0332100045111,総合福祉センター,岩手県紫波町二日町字古舘356-1,1,,,39.56087234,141.1743852,
827,E0332100046111,城山公園,岩手県紫波町二日町字古舘地内,1,,,39.56524214,141.172992,
828,E0332100047111,旧中央保育所,岩手県紫波町二日町字山子5-4,1,,,39.562980274995,141.166838532426,
829,E0332100048111,長岩寺,岩手県紫波町二日町字北七久保123,1,,,39.5660227414197,141.164314639377,
830,E0332100049111,善念寺,岩手県紫波町二日町字北七久保188,1,,,39.5647930284156,141.164713203274,
831,E0332100050111,本誓寺,岩手県紫波町二日町字北七久保204,1,,,39.5657940294293,141.165074223511,
832,E0332100051111,赤石公民館,岩手県紫波町日詰駅前1-10-2,1,,,39.53872289,141.1637647,
833,E0332100052111,岩手中央農協旧赤石支所,岩手県紫波町日詰駅前1-9-2,1,,,39.53908881,141.1634612,
834,E0332100053111,中央公民館,岩手県紫波町日詰字下丸森24-2,1,,,39.55722546,141.1650181,
835,E0332100054111,県立紫波総合高等学校,岩手県紫波町日詰字朝日田1,1,,,39.56187243,141.1572614,
836,E0332100054112,県立紫波総合高等学校（校庭）,岩手県紫波町日詰字朝日田1,1,,,39.56176491,141.1556762,
837,E0332100055112,日詰小学校（校庭）,岩手県紫波町日詰字朝日田228-1,1,,,39.55809236,141.1663611,
838,E0332100055111,日詰小学校,岩手県紫波町日詰字朝日田228-1,1,,,39.55851967,141.1661002,
839,E0332100056111,旧保健センター,岩手県紫波町日詰字東裏85-1,1,,,39.55524149,141.1721678,
840,E0332100057111,日詰第二・第三・第四こどもの家,岩手県紫波町日詰西1-2-14,1,,,39.5538627458492,141.166744331559,
841,E0332100058111,野上自治公民館,岩手県紫波町彦部字耳ケ沢40-1,1,,,39.50630414,141.1771308,
842,E0332100059111,長徳寺,岩手県紫波町彦部字暮坪168-1,1,,,39.52815127,141.1926999,
843,E0332100060111,東部保育所,岩手県紫波町彦部字暮坪176-1,1,,,39.528518,141.191848,
844,E0332100061111,旧彦部小学校,岩手県紫波町彦部字暮坪180,1,,,39.52849767,141.1918578,
845,E0332100061112,旧彦部小学校（校庭）,岩手県紫波町彦部字暮坪180,1,,,39.52884523,141.1912301,
846,E0332100062111,野村胡堂・あらえびす記念館,岩手県紫波町彦部字暮坪193-1,1,,,39.53085521,141.1925981,
847,E0332100063112,紫波第一中学校（校庭）,岩手県紫波町平沢字松田41,1,,,39.54825685,141.1575182,
848,E0332100063111,紫波第一中学校,岩手県紫波町平沢字松田41,1,,,39.5488525,141.1576576,
849,E0332100064112,旧片寄小学校（校庭）,岩手県紫波町片寄字野崎109,1,,,39.525445,141.121777,
850,E0332100064111,旧片寄小学校,岩手県紫波町片寄字野崎109,1,,,39.52581725,141.1219972,
851,E0330100002111,老人憩の家鶯宿荘,岩手県雫石町鴬宿10-21-26,1,,,39.640932995149,140.93499247882,
852,E0330100005111,雫石高等学校,岩手県雫石町柿木36-1,1,,,39.700662957655,140.96709456207,
853,E0330100006111,雫石中学校,岩手県雫石町柿木74-1,1,,,39.69639235093,140.96858696724,
854,E0330100007111,旧橋場小学校,岩手県雫石町橋場安栖63-2,1,,,39.69420864,140.8893225,
855,E0330100035111,橋場保育所,岩手県雫石町橋場安栖72-6,1,,,39.693960977784,140.89025057071,
856,E0330100008111,雫石小学校,岩手県雫石町源大堂50,1,,,39.692597042268,140.9730294855,
857,E0330100010111,雫石公民館,岩手県雫石町源大堂71-5,1,,,39.692341916174,140.96998426915,
858,E0330100012111,御明神保育所,岩手県雫石町御明神高八卦20-2,1,,,39.684988329347,140.94200815572,
859,E0330100014111,町営体育館,岩手県雫石町高前田104,1,,,39.700799339734,140.96301589014,
860,E0330100015111,七ツ森小学校,岩手県雫石町七ツ森16-240,1,,,39.701650332226,141.01162410678,
861,E0330100016111,中央公民館,岩手県雫石町上曽根田114,1,,,39.694284331037,140.97649769829,
